FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,Label
620399.0,651831.0,192925.0,288520.0,3366,2461,722,446,2231400.0,1661600.0,824730.0,640396.0,159.4,2,Nano1
604933.0,737819.0,118007.0,170520.0,1432,1457,636,328,1057070.0,828410.0,361701.0,303817.0,163.6,2,Nano1
419289.0,567612.0,98094.0,148242.0,1813,1296,379,148,497671.0,384633.0,245645.0,199879.0,164.6,2,Nano1
430012.0,526256.0,39212.0,53122.0,1535,879,639,271,902327.0,745929.0,359207.0,312056.0,165.4,2,Nano1
788760.0,827059.0,108783.0,121226.0,8027,6871,1180,794,1383470.0,912412.0,528911.0,358345.0,165.7,2,Nano1
403364.0,566023.0,41149.0,60947.0,804,710,76,127,445044.0,349589.0,141509.0,120428.0,165.8,2,Nano1
595528.0,706528.0,47273.0,61255.0,1736,1634,455,353,947531.0,726591.0,725871.0,509988.0,169.6,2,Nano1
526270.0,682300.0,76151.0,116331.0,1215,995,62,129,820144.0,651323.0,300008.0,233676.0,170.7,2,Nano1
294065.0,410767.0,6795.0,12025.0,1084,449,613,280,410995.0,347391.0,159390.0,138852.0,170.9,2,Nano1
1844470.0,1316640.0,3091430.0,3351420.0,8951,4441,1252,777,2282960.0,1220480.0,1534890.0,752405.0,171.0,2,Nano1
568849.0,746296.0,458597.0,532356.0,2253,1445,575,281,440098.0,338415.0,195629.0,154943.0,171.3,2,Nano1
444508.0,571758.0,43332.0,64726.0,986,974,734,262,738546.0,607993.0,248626.0,211761.0,171.4,2,Nano1
1547000.0,1402520.0,1775840.0,1456460.0,5722,3065,1470,686,373246.0,296334.0,244887.0,172927.0,172.1,2,Nano1
3648700.0,1812450.0,10496300.0,6341440.0,17459,5400,5674,1802,336177.0,239530.0,140765.0,90012.0,173.9,2,Nano1
210761.0,307025.0,23796.0,40457.0,17778,15454,2012,1716,368281.0,314732.0,176455.0,137404.0,175.9,2,Nano1
615530.0,722427.0,109584.0,156064.0,1897,1686,0,159,1028610.0,791720.0,435329.0,334260.0,177.1,2,Nano1
349341.0,481739.0,167034.0,225947.0,2325,1833,299,231,415080.0,339115.0,121009.0,115440.0,177.7,2,Nano1
450931.0,547200.0,53848.0,79604.0,1996,1769,535,202,755567.0,585734.0,338127.0,277165.0,178.3,2,Nano1
404805.0,372260.0,331025.0,396923.0,4937,1721,1352,422,4664790.0,1273830.0,2023400.0,594319.0,179.2,2,Nano1
317372.0,318311.0,73679.0,88738.0,6370,4901,1372,581,2195450.0,1604250.0,1424630.0,956143.0,179.4,2,Nano1
582462.0,760574.0,174858.0,217629.0,3530,2360,589,456,433275.0,338897.0,247074.0,175298.0,180.0,2,Nano1
290138.0,375214.0,33249.0,50570.0,1371,972,286,107,387659.0,319949.0,184540.0,159443.0,185.8,2,Nano1
575412.0,566354.0,123945.0,171778.0,2906,1745,671,398,1724800.0,1200110.0,868932.0,577180.0,188.5,2,Nano1
458666.0,534727.0,91342.0,127966.0,1881,1540,791,312,950314.0,749816.0,374247.0,323130.0,188.5,2,Nano1
611781.0,767375.0,63340.0,89730.0,1377,979,96,123,676250.0,510970.0,304721.0,248608.0,188.9,2,Nano1
749513.0,816449.0,1215140.0,1456140.0,10419,5047,2354,1272,462817.0,355594.0,261652.0,179128.0,188.9,2,Nano1
497445.0,625496.0,29737.0,33894.0,1492,1255,417,166,827360.0,646438.0,299941.0,212882.0,189.1,2,Nano1
610725.0,756628.0,70351.0,98716.0,2305,1622,518,295,1058420.0,837337.0,436294.0,384428.0,189.3,2,Nano1
406234.0,561812.0,70330.0,109210.0,299,409,515,144,430536.0,364166.0,199625.0,175716.0,189.4,2,Nano1
443490.0,590118.0,66294.0,104344.0,1006,893,188,149,627705.0,499019.0,202844.0,176036.0,189.4,2,Nano1
469999.0,463991.0,2188870.0,3013260.0,1381,812,537,311,594850.0,461193.0,399548.0,302334.0,193.8,2,Nano1
438191.0,596319.0,93950.0,146321.0,1386,994,86,132,593616.0,482095.0,163524.0,154795.0,200.2,2,Nano1
401543.0,520994.0,118649.0,178546.0,1118,864,84,145,638787.0,517481.0,241284.0,206620.0,200.3,2,Nano1
428841.0,545273.0,56421.0,86548.0,1212,1351,0,130,791199.0,632804.0,253158.0,212566.0,201.2,2,Nano1
499379.0,654017.0,42870.0,65719.0,1469,1282,35,80,759769.0,630327.0,315390.0,269364.0,201.7,2,Nano1
378264.0,518317.0,65297.0,96831.0,807,821,307,195,470182.0,380344.0,182825.0,162285.0,202.6,2,Nano1
