PC1,PC2,PC3
-2177.4544254600623,-29327.185570498215,-14525.583741692242
137.17962497088592,-6116.459535023267,47040.53536053727
442057.2812828062,256228.333142018,244183.91609576016
32907.31286878679,-42046.789015598195,5068.213214950461
-110791.38673782258,-26794.603599616,-18527.688207319618
-71344.95700913809,-10065.262025912423,-8037.016057155943
-2933.331224912152,-30591.930378938207,-795.5670864287422
-117931.96732756103,-28800.54744189786,-22793.81465668138
-25889.420600682963,-33672.50519161913,-8079.236190501913
-109755.17436009142,-26690.20878719217,-18676.45538214783
-119189.64339235236,-27825.58710137584,-23538.637783587696
-122590.99452274165,-28181.234787085312,-24446.4971949148
-111305.85934134637,-28515.046701776333,-21195.472171268328
-78386.70704437685,-28449.38306414565,-17078.568096022846
-61292.241015019594,-23732.73016922923,-12399.812045735775
-113076.17363269461,-26532.899987128323,-17542.2285562794
-112536.79932268208,-27140.539111959333,-20918.026532940225
93603.03642744267,27624.24572829377,113140.93887960102
-114248.37980127275,-26964.061646899507,-20953.200146937346
-40302.37249729593,148802.7167562769,-55577.77905729327
-114091.99964744505,-28578.231921486702,-21761.147515201854
-16938.071186338333,-12888.819961356414,-20673.97452781084
-17282.818946401094,-31354.232230313144,-7231.487662725525
-71724.90459213757,5040.690762974118,20555.752616727463
-113066.04067029014,-27000.95018281225,-23487.11004422207
-8778.002398611905,-24159.15624381983,-4603.417260188282
-71644.97202447653,-32919.340192227595,-14020.632159235303
487593.086295092,35334.74076528534,237680.45664575635
-51114.818757703746,-27707.550977280705,-4160.297970311247
106246.43026460784,7750.643604171542,57174.154833612636
-96114.49239927897,8074.8007252397365,-9242.043732862756
-78863.2284066708,-30048.184437137683,-17129.16049108132
-73372.37135696216,-28802.37895889269,-16766.932446467268
-99658.23816851119,7095.63321478368,-14861.426211143802
-120991.99006211545,-27744.388679279433,-23619.18869757863
-61846.55099221301,-25207.804687190837,-8009.333143548334
-82583.52092244402,-28862.77933517815,-22520.473308512497
-121823.08360335758,-29729.61270091005,-25297.2385632725
-115329.53383338015,-30162.158913615167,-23663.89083994181
-115962.31389005357,-29698.596817862013,-23307.44274136713
-110169.04238551062,-29403.058238317823,-22517.826486737584
28191.075455169557,250972.992566213,-7176.104455047676
-21737.831189897668,54433.74837089531,39707.95469976412
-117673.48233982341,-31679.099729193087,-27508.64983370595
