FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,tSNE-1,tSNE-2
6023.0,13860.0,2207.0,5158.0,2132.0,2159,3017,3138,7503.0,7792.0,1115.0,2128.0,31.5,0,97.72112,-38.131027
5820.0,14018.0,1114.0,2080.0,2989.0,2952,4340,4639,13310.0,15329.0,1651.0,2215.0,31.6,0,85.55832,-55.106163
46125.0,66240.0,12774.0,18837.0,619.0,267,77,85,65403.0,57611.0,56704.0,45970.0,31.7,0,99.47653,0.040811963
766.0,4650.0,789.0,3276.0,1662.0,3010,2143,3942,6253.0,11873.0,0.0,0.0,31.9,0,96.55895,-38.62175
2161.0,13424.0,345.0,2742.0,496.0,1572,679,2303,2143.0,7664.0,509.0,862.0,31.9,0,96.78977,-8.56993
55916.0,91853.0,3177.0,5505.0,100.0,67,33,143,69281.0,62227.0,37804.0,48861.0,32.0,0,92.59026,23.385822
8053.0,13087.0,2101.0,3443.0,3455.0,3184,4360,4291,11082.0,10819.0,1917.0,1535.0,32.0,0,109.33848,7.768724
7653.0,13529.0,2837.0,3831.0,7273.0,7769,8648,9065,19477.0,21642.0,2807.0,2926.0,32.0,0,86.951096,-5.591939
8716.0,17463.0,1599.0,4889.0,2045.0,2315,3051,3248,9134.0,9721.0,965.0,1938.0,32.0,0,99.82178,-26.887287
16192.0,28250.0,1948.0,4769.0,6669.0,6872,9836,10169,22714.0,23010.0,2070.0,4809.0,32.1,0,103.34594,-14.846646
8188.0,15827.0,3434.0,7278.0,2534.0,2491,3596,3880,11929.0,12534.0,2473.0,3235.0,32.2,0,101.01329,-29.124023
93561.0,128882.0,3807.0,7614.0,206.0,177,348,153,47823.0,45115.0,30317.0,35246.0,32.4,0,99.90017,23.29134
1143.0,6602.0,738.0,2996.0,1725.0,4792,1725,5456,4664.0,13087.0,1477.0,3357.0,32.5,0,102.73513,4.8173504
2391.0,10820.0,1090.0,3192.0,3229.0,5935,3929,7480,8621.0,16206.0,623.0,954.0,32.5,0,100.9685,22.338795
4118.0,10805.0,703.0,1938.0,1570.0,2356,1782,2804,5194.0,7727.0,1941.0,1982.0,32.5,0,94.31654,22.18193
